rating,box_office,genre,director
R,2365931,Art House and International|Comedy|Drama,Vincent Gallo
R,231512,Art House and International|Comedy|Drama,Goran Dukic
R,52000189,Comedy|Drama,Martin McDonagh
R,102981571,Action and Adventure|Mystery and Suspense,Sylvester Stallone
R,14443077,Drama,Michael Showalter
R,1940202,Drama,Barry Levinson
R,39712,Comedy|Drama,Danny Leiner
PG-13,14400987,Comedy|Romance,Stephen Herek
R,22877808,Drama,Sam Mendes
PG,25077977,Action and Adventure|Animation|Comedy|Kids and Family,Anthony Bell|Ben Gluck|Benjamin Gluck
PG-13,700000,Action and Adventure|Comedy|Drama,Kyle Newman
PG-13,234141872,Action and Adventure|Science Fiction and Fantasy,Steven Spielberg
R,1616556,Drama|Mystery and Suspense,Werner Herzog
PG-13,465786,Drama,Tim Disney
R,27503677,Drama|Horror|Mystery and Suspense,Peter Webber
R,1736708,Drama,Ang Lee
R,25658,Drama,Jed Weintrob
PG-13,75604320,Comedy,Anthony Russo|Joe Russo
R,13900000,Action and Adventure|Art House and International|Comedy|Cult Movies|Drama,Harmony Korine
R,453079,Comedy,Robert Pulcini|Shari Springer Berman
PG-13,279167575,Comedy,Jay Roach
R,8300,Action and Adventure|Comedy|Drama,Richard Rush
R,13351235,Comedy|Drama|Romance,Charles Shyer
NR,3328,Drama|Horror|Mystery and Suspense,Eric England
G,19000000,Documentary|Drama,Jacques Cluzaud|Jacques Perrin
G,16302332,Comedy|Documentary|Science Fiction and Fantasy|Special Interest,James Cameron
PG-13,89602378,Action and Adventure|Drama|Mystery and Suspense,Robert Schwentke
R,519730,Drama,Cyrus Nowrasteh
R,301194,Comedy|Drama,Roman Coppola
NR,104286,Documentary|Special Interest,Jonathan Challis|Susan Crook|John Coffey|Ian Lynch
R,4519967,Art House and International|Comedy|Drama,Francis Veber
R,28031250,Action and Adventure|Horror|Science Fiction and Fantasy,Andrzej Bartkowiak
R,34187787,Drama,Patty Jenkins
R,31155435,Comedy,Jesse Dylan
R,36800000,Action and Adventure|Drama|Mystery and Suspense,Neil Jordan
R,42500000,Horror,Steven Quale
PG,53021560,Comedy|Drama|Romance,Gary Winick
PG-13,127490802,Drama|Science Fiction and Fantasy|Romance,David Fincher
PG-13,105765605,Comedy|Drama|Romance,Donald Petrie
R,1566027,Drama,George Hickenlooper
R,948054,Art House and International|Drama,Danis Tanovic
R,368000000,Drama,Mel Gibson
PG-13,45299680,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Steven Spielberg
PG-13,1634064,Drama|Musical and Performing Arts|Romance,Maggie Greenwald
PG-13,44667095,Comedy|Drama|Romance,Michel Hazanavicius
R,406235,Drama,Gia Coppola
PG-13,82989109,Drama|Mystery and Suspense,Bryan Singer
